date,category,buy_value,sell_value,net_value
2007-06-14,FII/FPI,2610.38,2576.25,34.13
2007-06-15,DII,865.58,501.72,363.86
2007-06-15,FII/FPI,1947.69,1992.47,-44.78
2007-06-18,DII,778.67,408.67,370.0
2007-06-18,FII/FPI,1571.05,1659.41,-88.36
2007-06-19,DII,769.13,802.11,-32.98
2007-06-19,FII/FPI,2061.81,1890.1,171.71
2007-06-20,DII,894.26,790.13,104.13
2007-06-20,FII/FPI,2543.91,2301.62,242.29
2007-06-21,DII,1005.19,857.48,147.71
2007-06-21,FII/FPI,2328.05,2183.56,144.49
2007-06-22,DII,1314.72,802.42,512.3
2007-06-22,FII/FPI,2235.18,2263.41,-28.23
2007-06-25,DII,737.57,558.34,179.23
2007-06-25,FII/FPI,2672.02,2652.18,19.84
2007-06-26,DII,885.6,686.11,199.49
2007-06-26,FII/FPI,1812.99,2054.45,-241.46
2007-06-27,DII,748.75,504.65,244.1
2007-06-27,FII/FPI,2059.39,2626.72,-567.33
2007-06-28,DII,1145.29,1071.78,73.51
2007-06-28,FII/FPI,2768.23,3166.34,-398.11
2007-06-29,DII,1119.86,958.2,161.66
2007-06-29,FII/FPI,2654.42,2095.83,558.59
2007-07-05,DII,1645.69,1571.12,74.57
2007-07-05,FII/FPI,900.11,756.53,143.58
2007-07-06,DII,1037.22,753.41,283.81
2007-07-06,FII/FPI,1412.65,1699.82,-287.17
2007-07-08,DII,725.62,609.58,116.04
2007-07-08,FII/FPI,2195.64,2521.32,-325.68
2007-07-09,DII,846.88,946.31,-99.43
2007-07-09,FII/FPI,2173.45,1788.77,384.68
2007-07-11,DII,1103.07,1007.75,95.32
2007-07-11,FII/FPI,4197.83,3766.42,431.41
2007-07-12,DII,1478.72,1139.08,339.64
2007-07-12,FII/FPI,4426.24,4680.08,-253.84
2007-07-13,DII,1566.33,1391.96,174.37
2007-07-13,FII/FPI,4470.11,3146.59,1323.52
2007-07-16,DII,826.37,1234.9,-408.53
2007-07-16,FII/FPI,3008.72,2702.19,306.53
2007-07-17,DII,1100.52,1265.45,-164.93
2007-07-17,FII/FPI,3387.42,3028.36,359.06
2007-07-18,DII,880.22,937.71,-57.49
2007-07-18,FII/FPI,3109.15,2910.84,198.31
2007-07-19,DII,992.07,1141.08,-149.01
2007-07-19,FII/FPI,3449.51,2797.43,652.08
2007-07-20,DII,846.78,1191.26,-344.48
2007-07-20,FII/FPI,3996.49,2840.56,1155.93
2007-07-23,DII,754.52,953.47,-198.95
2007-07-23,FII/FPI,3723.98,2698.41,1025.57
2007-07-24,DII,897.87,1208.47,-310.6
2007-07-24,FII/FPI,4171.38,3100.67,1070.71
2007-07-25,DII,1198.24,1048.42,149.82
2007-07-25,FII/FPI,3106.22,3141.69,-35.47
2007-07-26,DII,1270.02,1414.29,-144.27
2007-07-26,FII/FPI,4457.35,4179.31,278.04
2007-07-27,DII,1970.85,1243.53,727.32
2007-07-27,FII/FPI,3550.83,5025.83,-1475.0
2007-07-30,DII,1706.87,852.55,854.32
2007-07-30,FII/FPI,1903.1,3020.45,-1117.35
2007-07-31,DII,1079.11,731.26,347.85
2007-07-31,FII/FPI,2980.16,2945.53,34.63
2007-08-05,DII,964.75,1089.29,-124.54
2007-08-05,FII/FPI,1628.57,1833.98,-205.41
2007-08-06,DII,1334.84,595.84,739.0
2007-08-06,FII/FPI,2591.34,3566.12,-974.78
2007-08-08,DII,1020.25,803.82,216.43
2007-08-08,FII/FPI,3005.15,2918.19,86.96
2007-08-10,DII,834.0,976.68,-142.68
2007-08-10,FII/FPI,4281.74,2822.23,1459.51
2007-08-11,DII,1223.6,940.28,283.32
2007-08-11,FII/FPI,3190.15,4546.68,-1356.53
2007-08-13,DII,720.81,583.05,137.76
2007-08-13,FII/FPI,1593.84,2153.42,-559.58
2007-08-14,DII,765.69,456.75,308.94
2007-08-14,FII/FPI,1464.92,1796.44,-331.52
2007-08-16,DII,2156.08,757.18,1398.9
2007-08-16,FII/FPI,2404.91,5513.36,-3108.45
2007-08-17,DII,2677.53,733.05,1944.48
2007-08-17,FII/FPI,2544.48,6080.24,-3535.76
2007-08-20,DII,686.26,544.23,142.03
2007-08-20,FII/FPI,2084.93,2733.86,-648.93
2007-08-21,DII,1413.43,586.59,826.84
2007-08-21,FII/FPI,2235.03,2373.27,-138.24
2007-08-22,DII,1115.9,568.61,547.29
2007-08-22,FII/FPI,1911.78,2547.97,-636.19
2007-08-23,DII,1268.56,737.84,530.72
2007-08-23,FII/FPI,3254.95,2980.31,274.64
2007-08-24,DII,1090.16,689.45,400.71
2007-08-24,FII/FPI,1404.72,1679.41,-274.69
2007-08-27,DII,1074.77,881.45,193.32
2007-08-27,FII/FPI,2053.46,1358.11,695.35
2007-08-28,DII,641.52,720.84,-79.32
2007-08-28,FII/FPI,2458.12,2067.92,390.2
2007-08-29,DII,890.95,825.47,65.48
2007-08-29,FII/FPI,2415.39,2579.12,-163.73
2007-08-30,DII,2184.74,1831.78,352.96
2007-08-30,FII/FPI,4032.67,4596.33,-563.66
2007-08-31,DII,1262.79,1050.39,212.4
2007-08-31,FII/FPI,2874.13,2327.04,547.09
2007-09-04,DII,0.0,0.0,0.0
2007-09-04,FII/FPI,1423.75,930.39,493.36
2007-09-05,DII,779.03,892.14,-113.11
2007-09-05,FII/FPI,1685.79,1985.81,-300.02
2007-09-07,DII,746.89,983.74,-236.85
2007-09-07,FII/FPI,2758.44,1916.8,841.64
2007-09-08,DII,1071.72,999.58,72.14
2007-09-08,FII/FPI,2483.86,2456.63,27.23
2007-09-10,DII,1216.27,1745.65,-529.38
2007-09-10,FII/FPI,4384.91,2968.19,1416.72
2007-09-11,DII,21.6,22.13,-0.53
2007-09-11,FII/FPI,129.47,94.48,34.99
2007-09-13,DII,1006.04,1041.95,-35.91
2007-09-13,FII/FPI,2346.89,2340.6,6.29
2007-09-14,DII,976.99,1237.41,-260.42
2007-09-14,FII/FPI,3477.32,2191.29,1286.03
2007-09-17,DII,672.7,813.27,-140.57
2007-09-17,FII/FPI,2146.26,2051.92,94.34
2007-09-18,DII,920.99,1153.92,-232.93
2007-09-18,FII/FPI,2924.34,2900.96,23.38
2007-09-19,DII,1686.85,2015.0,-328.15
2007-09-19,FII/FPI,5767.81,3310.19,2457.62
2007-09-20,DII,1018.2,1582.48,-564.28
2007-09-20,FII/FPI,4596.36,2968.92,1627.44
2007-09-21,DII,1442.87,1720.55,-277.68
2007-09-21,FII/FPI,3716.81,2954.68,762.13
2007-09-24,DII,1494.45,2164.89,-670.44
2007-09-24,FII/FPI,4796.16,3605.63,1190.53
2007-09-25,DII,1084.74,1601.17,-516.43
2007-09-25,FII/FPI,4442.69,2946.55,1496.14
2007-09-26,DII,1141.46,1842.89,-701.43
2007-09-26,FII/FPI,3622.56,2894.57,727.99
2007-09-27,DII,1837.79,2149.21,-311.42
2007-09-27,FII/FPI,7256.37,5029.52,2226.85
2007-09-28,DII,1435.77,1535.9,-100.13
2007-09-28,FII/FPI,5265.73,2990.02,2275.71
2007-10-04,DII,0.0,0.0,0.0
2007-10-04,FII/FPI,2232.95,1883.3,349.65
2007-10-05,DII,918.11,531.67,386.44
2007-10-05,FII/FPI,2001.36,1848.09,153.27
2007-10-07,DII,773.85,980.55,-206.7
2007-10-07,FII/FPI,3001.68,2418.66,583.02
2007-10-08,DII,989.81,1005.45,-15.64
2007-10-08,FII/FPI,2748.56,3490.86,-742.3
2007-10-09,DII,750.45,740.63,9.82
2007-10-09,FII/FPI,1399.48,1589.63,-190.15
2007-10-10,DII,1444.55,2141.37,-696.82
2007-10-10,FII/FPI,5817.2,4354.91,1462.29
2007-10-12,DII,1180.94,1411.09,-230.15
2007-10-12,FII/FPI,2811.06,3003.18,-192.12
2007-10-15,DII,1688.71,1969.82,-281.11
2007-10-15,FII/FPI,7138.65,4270.06,2868.59
2007-10-16,DII,1693.31,1703.36,-10.05
2007-10-16,FII/FPI,5665.37,5899.69,-234.32
2007-10-17,DII,1811.98,1526.92,285.06
2007-10-17,FII/FPI,5868.28,7880.34,-2012.06
2007-10-18,DII,1886.24,1790.22,96.02
2007-10-18,FII/FPI,7066.0,8196.59,-1130.59
2007-10-19,DII,1758.02,1571.76,186.26
2007-10-19,FII/FPI,8192.74,9943.5,-1750.76
2007-10-22,DII,1360.31,1375.64,-15.33
2007-10-22,FII/FPI,5545.71,6836.57,-1290.86
2007-10-23,DII,1387.54,1349.9,37.64
2007-10-23,FII/FPI,6103.05,5712.34,390.71
2007-10-24,DII,1574.37,1191.14,383.23
2007-10-24,FII/FPI,5885.81,4583.94,1301.87
2007-10-25,DII,2372.68,1584.31,788.37
2007-10-25,FII/FPI,6922.59,7547.93,-625.34
2007-10-26,DII,2164.77,1198.81,965.96
2007-10-26,FII/FPI,3229.55,4466.9,-1237.35
2007-10-29,DII,2009.85,1375.41,634.44
2007-10-29,FII/FPI,4568.62,3879.69,688.93
2007-10-30,DII,1839.07,2016.31,-177.24
2007-10-30,FII/FPI,4346.73,4735.85,-389.12
2007-10-31,DII,1902.13,1457.88,444.25
2007-10-31,FII/FPI,5250.75,5052.01,198.74
2007-11-04,DII,0.0,0.0,0.0
2007-11-04,FII/FPI,2086.5,2156.46,-69.96
2007-11-05,DII,925.82,485.77,440.05
2007-11-05,FII/FPI,1667.83,2182.09,-514.26
2007-11-06,DII,820.99,583.87,237.12
2007-11-06,FII/FPI,2132.55,2158.67,-26.12
2007-11-07,DII,937.56,1252.94,-315.38
2007-11-07,FII/FPI,2831.4,2732.06,99.34
2007-11-09,DII,750.4,1195.15,-444.75
2007-11-09,FII/FPI,2214.55,1957.96,256.59
2007-11-10,DII,1383.12,1803.23,-420.11
2007-11-10,FII/FPI,5961.99,5167.21,794.78
2007-11-12,DII,1593.63,1252.32,341.31
2007-11-12,FII/FPI,4049.74,3662.47,387.27
2007-11-13,DII,1779.09,1514.94,264.15
2007-11-13,FII/FPI,4770.2,5103.04,-332.84
2007-11-14,DII,1708.16,1141.12,567.04
2007-11-14,FII/FPI,4769.91,4606.89,163.02
2007-11-15,DII,1889.36,1303.54,585.82
2007-11-15,FII/FPI,3914.47,4067.3,-152.83
2007-11-16,DII,1195.58,955.86,239.72
2007-11-16,FII/FPI,3503.69,3866.83,-363.14
2007-11-19,DII,1352.24,1415.69,-63.45
2007-11-19,FII/FPI,3818.32,4189.36,-371.04
2007-11-20,DII,1681.08,1217.13,463.95
2007-11-20,FII/FPI,4414.79,6215.47,-1800.68
2007-11-21,DII,1600.51,970.45,630.06
2007-11-21,FII/FPI,3208.09,5215.79,-2007.7
2007-11-22,DII,2241.49,900.34,1341.15
2007-11-22,FII/FPI,1889.01,4376.72,-2487.71
2007-11-23,DII,1274.19,748.33,525.86
2007-11-23,FII/FPI,2271.55,2813.43,-541.88
2007-11-26,DII,980.58,706.52,274.06
2007-11-26,FII/FPI,3019.5,2969.1,50.4
2007-11-27,DII,1262.29,963.96,298.33
2007-11-27,FII/FPI,3408.27,3906.62,-498.35
2007-11-28,DII,1259.43,927.61,331.82
2007-11-28,FII/FPI,3192.91,4171.87,-978.96
2007-11-29,DII,1974.7,1368.45,606.25
2007-11-29,FII/FPI,5155.11,6268.07,-1112.96
2007-11-30,DII,1948.94,1260.6,688.34
2007-11-30,FII/FPI,7242.97,6170.9,1072.07
2007-12-04,DII,0.0,0.0,0.0
2007-12-04,FII/FPI,1658.77,1832.35,-173.58
2007-12-06,DII,702.49,783.35,-80.86
2007-12-06,FII/FPI,2017.16,1681.86,335.3
2007-12-07,DII,1069.96,1041.1,28.86
2007-12-07,FII/FPI,3533.91,2919.83,614.08
2007-12-09,DII,1037.14,1128.46,-91.32
2007-12-09,FII/FPI,2333.4,2015.64,317.76
2007-12-10,DII,1242.36,2126.04,-883.68
2007-12-10,FII/FPI,5260.25,4944.89,315.36
2007-12-11,DII,1209.86,1143.87,65.99
2007-12-11,FII/FPI,4487.18,5681.56,-1194.38
2007-12-12,DII,1727.43,1611.6,115.83
2007-12-12,FII/FPI,4575.06,4960.26,-385.2
2007-12-13,DII,1866.63,1639.98,226.65
2007-12-13,FII/FPI,3908.34,4310.1,-401.76
2007-12-14,DII,1398.27,1293.09,105.18
2007-12-14,FII/FPI,3776.02,4423.12,-647.1
2007-12-17,DII,1307.24,1080.38,226.86
2007-12-17,FII/FPI,3351.68,5502.89,-2151.21
2007-12-18,DII,1318.9,659.75,659.15
2007-12-18,FII/FPI,3166.59,5903.07,-2736.48
2007-12-19,DII,1542.21,1191.61,350.6
2007-12-19,FII/FPI,2506.5,3960.56,-1454.06
2007-12-20,DII,1697.2,806.78,890.42
2007-12-20,FII/FPI,2416.46,3183.18,-766.72
2007-12-24,DII,1391.0,1058.35,332.65
2007-12-24,FII/FPI,3324.7,3148.92,175.78
2007-12-26,DII,1857.51,1408.78,448.73
2007-12-26,FII/FPI,2345.04,1806.75,538.29
2007-12-27,DII,2475.71,1687.79,787.92
2007-12-27,FII/FPI,5578.8,6281.44,-702.64
2007-12-28,DII,1401.46,1234.77,166.69
2007-12-28,FII/FPI,2920.56,2266.8,653.76
2007-12-31,DII,1331.68,1774.67,-442.99
2007-12-31,FII/FPI,2908.02,2391.96,516.06
2008-01-01,DII,1284.38,977.44,306.94
2008-01-01,FII/FPI,888.69,1350.1,-461.41
2008-01-02,DII,1220.8,1336.2,-115.4
2008-01-02,FII/FPI,3469.19,3596.12,-126.93
2008-01-04,DII,715.07,1004.63,-289.56
2008-01-04,FII/FPI,2609.05,3247.91,-638.86
2008-01-07,DII,785.18,622.68,162.5
2008-01-07,FII/FPI,3117.64,2908.21,209.43
2008-01-08,DII,1301.98,905.64,396.34
2008-01-08,FII/FPI,2686.71,3273.99,-587.28
2008-01-09,DII,532.82,450.2,82.62
2008-01-09,FII/FPI,1299.92,1541.77,-241.85
2008-01-10,DII,845.09,796.44,48.65
2008-01-10,FII/FPI,1889.96,2164.86,-274.9
2008-01-12,DII,675.36,626.17,49.19
2008-01-12,FII/FPI,1674.62,1645.98,28.64
2008-01-14,DII,1319.73,1513.28,-193.55
2008-01-14,FII/FPI,4404.39,4662.05,-257.66
2008-01-15,DII,1229.36,1319.1,-89.74
2008-01-15,FII/FPI,5096.81,5461.9,-365.09
2008-01-16,DII,1864.99,1676.02,188.97
2008-01-16,FII/FPI,4439.43,6957.02,-2517.59
2008-01-17,DII,2039.72,1304.97,734.75
2008-01-17,FII/FPI,4252.65,6520.05,-2267.4
2008-01-18,DII,2031.66,1336.1,695.56
2008-01-18,FII/FPI,4417.25,6564.17,-2146.92
